SPECIES,COMMON,SOURCE,DATATYPE,TAG,TAGNO, ,TAGEVENT,TAGTYPE,LATDEC,LONDEC,DATE,MONTH,DAY,YEAR,FL_CM,FL_DET,PCL_CM,PCL_DET,TL_CM,TL_DET,STL_CM,STL_DET,SL_CM,SL_DET,LENGTHS_DET,LIFESTAGE_AUTHOR,LIFESTAGE_HMS_EFH,WT_A,WT_A_UNITS,WT_DET,WT_KG,SEX,OCC,GEAR,LOC,NOTES,Source ID,SourceFile
Carcharhinus limbatus,Blacktip,CSTP,T,,478, ,,RR,27.55,-80.283,3/19/65,3,19,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,M,BIO,LL,,,478,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,479, ,,RR,27.55,-80.283,3/19/65,3,19,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,479,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,480, ,,RR,27.55,-80.283,3/20/65,3,20,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,F,BIO,LL,,,480,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,481, ,,RR,27.55,-80.283,3/20/65,3,20,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,481,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,485, ,,RR,27.617,-80.283,3/24/65,3,24,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,F,BIO,LL,,,485,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,492, ,,RR,27.617,-80.283,3/25/65,3,25,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,F,BIO,LL,,,492,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,493, ,,RR,27.617,-80.283,3/25/65,3,25,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,F,BIO,LL,,,493,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,494, ,,RR,27.617,-80.283,3/25/65,3,25,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,F,BIO,LL,,,494,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,495, ,,RR,27.617,-80.283,3/25/65,3,25,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,F,BIO,LL,,,495,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,497, ,,RR,27.617,-80.283,3/25/65,3,25,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,F,BIO,LL,,,497,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,498, ,,RR,27.617,-80.283,3/25/65,3,25,1965,152,EST,,,182.8,CALC,,,,,,,adu,,,,,F,BIO,LL,,,498,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,503, ,,RR,27.617,-80.283,3/25/65,3,25,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,M,BIO,LL,,,503,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,507, ,,RR,27.617,-80.283,3/25/65,3,25,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,F,BIO,LL,,,507,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,508, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,508,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,509, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,509,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,511,duplicate,,RR,27.517,-80.283,3/26/65,3,26,1965,122,EST,,,152,EST,,,,,,,juv,,,,,M,NR,LL,,,511,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,R,,511,duplicate,,RR,35.117,-75.967,6/5/67,6,5,1967,143,MEAS,,,172.1,CALC,,,,,,,adu,,,,,M,NR,BEACH SEINE,,,511,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,512, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,512,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,514, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,514,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,515, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,515,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,516, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,516,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,518, ,,RR,27.517,-80.283,3/26/65,3,26,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,M,BIO,LL,,,518,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,521, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,521,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,525, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,525,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,526, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,526,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,527, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,527,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,528, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,528,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,529, ,,RR,27.517,-80.283,3/26/65,3,26,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,529,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,531, ,,RR,27.517,-80.283,3/27/65,3,27,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,531,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,532, ,,RR,27.517,-80.283,3/27/65,3,27,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,532,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,533, ,,RR,27.517,-80.283,3/27/65,3,27,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,533,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,535, ,,RR,27.517,-80.283,3/27/65,3,27,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,M,BIO,LL,,,535,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,536, ,,RR,27.517,-80.283,3/27/65,3,27,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,536,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,537, ,,RR,27.517,-80.283,3/27/65,3,27,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,537,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,538, ,,RR,27.517,-80.283,3/27/65,3,27,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,M,BIO,LL,,,538,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,539, ,,RR,27.517,-80.283,3/27/65,3,27,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,M,BIO,LL,,,539,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,540, ,,RR,27.517,-80.283,3/27/65,3,27,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,540,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,541, ,,RR,27.517,-80.283,3/27/65,3,27,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,U,BIO,LL,,,541,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,542, ,,RR,27.517,-80.283,3/27/65,3,27,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,M,BIO,LL,,,542,Atlantic_CCL_COASTSPAN.xlsx
