"Workgroup","Collection_Workplan","Date","Collection_Form","Species","Tag","Common_Name_Kingdom","Common_Name_Phylum","Common_Name_Subphylum","Common_Name_Class","Common_Name_Order","Common_Name_Family","Common_Name_Genus","Common_Name_Species","Latin_Name_Kingdom","Latin_Name_Phylum","Latin_Name_Subphylum","Latin_Name_Class","Latin_Name_Order","Latin_Name_Family","Latin_Name_Genus","Latin_Name_Species","Case_Activity","Data_Classification","Data_Source","Data_Category","Source_Type","Sharing_Status","Review_Status","Trip_ID","File_Collection_ID","Location_Geom","Start_Latitude","Start_Longitude","End_Latitude","End_Longitude"
Fish,Whale Shark Tagging Plan,2010-07-09,Location Tracking Device,Whale Shark,3810001,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-91.7323 27.8278,-91.8474 27.8316)",27.8278,-91.7323,27.8316,-91.8474
Fish,Whale Shark Tagging Plan,2010-07-09,Location Tracking Device,Whale Shark,3810002,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-92.636 29.0605,-92.91 29.1216)",29.0605,-92.636,29.1216,-92.91
Fish,Whale Shark Tagging Plan,2010-07-10,Location Tracking Device,Whale Shark,3810001,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-91.8474 27.8316,-91.9331 27.8693)",27.8316,-91.8474,27.8693,-91.9331
Fish,Whale Shark Tagging Plan,2010-07-10,Location Tracking Device,Whale Shark,3810002,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-92.91 29.1216,-93.0165 29.1111)",29.1216,-92.91,29.1111,-93.0165
Fish,Whale Shark Tagging Plan,2010-07-11,Location Tracking Device,Whale Shark,3810001,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-91.9331 27.8693,-91.8789 27.879)",27.8693,-91.9331,27.879,-91.8789
Fish,Whale Shark Tagging Plan,2010-07-11,Location Tracking Device,Whale Shark,3810002,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-93.0165 29.1111,-93.0694 29.0603)",29.1111,-93.0165,29.0603,-93.0694
Fish,Whale Shark Tagging Plan,2010-07-12,Location Tracking Device,Whale Shark,3810001,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-91.8789 27.879,-91.5099 27.7372)",27.879,-91.8789,27.7372,-91.5099
Fish,Whale Shark Tagging Plan,2010-07-12,Location Tracking Device,Whale Shark,3810002,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-93.0694 29.0603,-92.9589 28.9637)",29.0603,-93.0694,28.9637,-92.9589
Fish,Whale Shark Tagging Plan,2010-07-13,Location Tracking Device,Whale Shark,3810001,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-91.5099 27.7372,-91.3111 27.4596)",27.7372,-91.5099,27.4596,-91.3111
Fish,Whale Shark Tagging Plan,2010-07-13,Location Tracking Device,Whale Shark,3810002,Animal,Chordates,Vertebrates,Cartilaginous fishes/rays/sharks,Carpet sharks,Whale sharks,Rhincodon (no common name available),Whale shark,Animalia,Chordata,Vertebrata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus,Deepwater Horizon,NRDA,NOAA,Telemetry,DWH Trustee NRDA,Publicly Available,Draft Filtered Track Line,-999,Not Defined,"LINESTRING(-92.9589 28.9637,-92.7106 28.8924)",28.9637,-92.9589,28.8924,-92.7106
